Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
5 January10:48:00,GSLV Mk II,,India,Satish Dhawan SLP,ISRO,GSAT-14,ISRO,Geosynchronous,Communications,In orbit,Operational
6 January22:06:00,Falcon 9 v1.1,,United States,Cape Canaveral SLC-40,SpaceX,Thaicom 6,Thaicom (Shin Corporation),Geosynchronous,Communications,In orbit,Operational
9 January18:07:05,Antares 120,,United States,MARS LP-0A,Orbital Sciences,"Cygnus CRS Orb-1  S.S. C. Gordon Fullerton
ArduSat-2
Lituanica SAT-1
LitSat-1
SkyCube
UAPSat-1
Flock-1 × 28","NASA
NanoSatisfi
VU
LSA, KTU, VGTU
SkyCube
UAP
Planet Labs","Low Earth (ISS)
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","ISS logistics
Technology demonstration
Technology demonstration
Technology demonstration
Technology demonstration
Technology demonstration
Earth observation","19 February 201418:20
1 July 2014
28 July 2014
22 May 2014
8 November 2014
22 May 2014
First: 3 May 2014  Last: 29 October 2014",Successful,"
First Orbital Sciences CRS operational flight, maiden flight of Antares 120. All payloads other than Cygnus are CubeSats carried aboard the Cygnus for deployment from the ISS. CubeSats include first Lithuanian satellites.
"
24 January02:33:00,Atlas V 401,,United States,Cape Canaveral SLC-41,United Launch Alliance,TDRS-L (TDRS-12),NASA,Geosynchronous,Communications / Data Relay,In orbit,Operational
5 February16:23:32,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,"Progress M-22M / 54P
Chasqui-1","Roskosmos
Universidad Nacional de Ingeniería del Perú","Low Earth (ISS)
Low Earth","ISS logistics
Technology demonstration","18 April 201415:46
15 January 2015","Successful
Spacecraft failure","
Chasqui-1 released from the ISS by cosmonauts during EVA on 18 August.
"
6 February21:30:07,Ariane 5 ECA,,France,Kourou ELA-3,Arianespace,"ABS-2
Athena-Fidus","ABS
CNES / ASI","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
14 February21:09:03,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 81/24,International Launch Services,Türksat 4A,Türksat,Geosynchronous,Communications,In orbit,Operational
21 February01:59:00,"Delta IV M+(4,2)",,United States,Cape Canaveral SLC-37B,United Launch Alliance,USA-248 (GPS IIF-5),US Air Force,Medium Earth,Navigation,In orbit,Operational
27 February18:37:00,H-IIA 202,,Japan,Tanegashima Y1,Mitsubishi Heavy Industries,"GPM-Core
Ginrei (ShindaiSat)
STARS-II
TeikyoSat-3
KSAT-2
OPUSAT
INVADER
ITF-1","JAXA / NASA
Shinshu University
Kagawa University
Teikyo University
Kagoshima University
OPU
Tamabi
Tsukuba Universit","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Environmental
Technology demonstration
Technology demonstration
Technology demonstration / Microbiology
Technology demonstration
Technology demonstration
Amateur radio
Amateur radio","In orbit
24 November 2014
26 April 2014
25 October 2014
18 May 2014
24 July 2014
2 September 2014
29 June 2014","Operational
Successful
Successful
Successful
Successful
Spacecraft failure","
ITF-1 failed to communicate.
"
15 March23:08:00,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 81/24,Khrunichev,"Ekspress-AT1
Ekspress-AT2","RSCC
RSCC","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
22 March22:04:07,Ariane 5 ECA,,France,Kourou ELA-3,Arianespace,"Astra 5B
Amazonas 4A","SES S.A.
Hispasat","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
23 March22:54:03,Soyuz-2.1b / Fregat,,Russia,Plesetsk Site 43/4,RVSN RF,Kosmos 2494 (GLONASS-M 754),VKO,Medium Earth,Navigation,In orbit,Operational
25 March21:17:23,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TMA-12M,Roskosmos,Low Earth (ISS),Expedition 39 / 40,11 September 201402:23,Successful,"
Crewed flight with three cosmonauts
"
31 March02:46:03,Long March 2C,,China,Jiuquan SLS-2,CALT,Shijian 11-06,CASC,Low Earth (SSO),Technology demonstration,In orbit,Operational
3 April14:46:30,Atlas V 401,,United States,Vandenberg SLC-3E,United Launch Alliance,USA-249 (DMSP-5D3 F19),US Air Force / NOAA,Low Earth (SSO),Meteorology,In orbit,Spacecraft failure (11 February 2016)
3 April21:02:26,Soyuz-STA / Fregat,,France,Kourou ELS,Arianespace,Sentinel-1A,ESA,Low Earth (SSO),Earth observation,In orbit,Operational
4 April11:44:00,PSLV-XL,,India,Satish Dhawan FLP,ISRO,IRNSS-1B,ISRO,Geosynchronous,Navigation,In orbit,Operational
9 April15:26:27,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-23M / 55P,Roskosmos,Low Earth (ISS),ISS logistics,31 July 2014,Successful
9 April19:06:02,Shavit,,Israel,Palmachim Airbase,Israel Aerospace Industries,Ofeq 10,Israel Defense Forces,Low Earth,Reconnaissance,In orbit,Operational
10 April17:45:00,Atlas V 541,,United States,Cape Canaveral SLC-41,United Launch Alliance,USA-250 (NRO L-67),NRO,Geosynchronous,ELINT (?),In orbit,Operational,"
NRO Launch 67
"
16 April16:20:00,Soyuz-U,,Kazakhstan,Baikonur Site 31/6,Roskosmos,EgyptSat 2,NARSSS,Low Earth,Remote sensing,In orbit,Operational
18 April19:25:22,Falcon 9 v1.1,,United States,Cape Canaveral SLC-40,SpaceX,"SpaceX CRS-3
KickSat
ALL-STAR/THEIA
SporeSat
TestSat-Lite
PhoneSat 2.5","NASA
KickSat / Cornell
Colorado / ALL-STAR
NASA Ames / Purdue
Taylor University
NASA Ames","Low Earth (ISS)
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","ISS logistics
Technology demonstration
Technology demonstration
Life sciences
Technology demonstration
Technology demonstration","18 May 201419:05
14 May 201401:30
26 May 2014
4 June 2014
28 May 2014
15 May 2014","Successful
Spacecraft failure","
KickSat carried and failed to deploy 104 femtosatellites in low Earth orbit.
"
28 April04:25:00,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 81/24,Roscosmos,"Luch 5V
KazSat-3","Gonets Satellite System
JSC KazSat","Geosynchronous
Geosynchronous","Communications / Data Relay
Communications","In orbit
In orbit","Operational
Operational"
30 April01:35:15,Vega,,France,Kourou ELV,Arianespace,KazEOSat 1,KGS,Low Earth (SSO),Optical imaging,In orbit,Operational
