Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
5 November21:01,LGM-118 Peacekeeper,,United States,Vandenberg LF-02,US Air Force,8 re-entry vehicles,US Air Force,Suborbital,Missile test,5 November,Successful
6 November00:30,Delta II 7925-9.5,,United States,Cape Canaveral LC-17A,Boeing IDS,USA-134 (GPS IIA-19),US Air Force,Medium Earth,Navigation,In orbit,Operational
8 November02:05,Titan IVA (401)/Centaur,,United States,Cape Canaveral LC-41,Lockheed Martin,USA-136 (Trumpet 3),NRO,Molniya,SIGINT,In orbit,Operational,"
NRO Launch 4
"
9 November01:34,Delta II 7920-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 43
Iridium 41
Iridium 40
Iridium 39
Iridium 38","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","11 February 2018
28 July 2018
23 September 2018
In orbit
In orbit","Successful
Successful
Successful
Operational
Operational"
12 November17:00,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 200/39,,Kupon,RFCB,Geosynchronous,Communications,In orbit,Spacecraft Failure,"
Onboard computer failed
"
12 November21:48,Ariane 4 (44L),,France,Kourou ELA-2,Arianespace,"Sirius 2
IndoStar-1","NSAB
Indostar","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Spacecraft Failure
Operational","
Astra 5A (Sirius 2) failed on 16 January 2009
"
14 November05:00,Black Brant IX,,United States,White Sands,NASA,SCARI,NASA,Suborbital,Ultraviolet astronomy,14 November,Successful
17 November,Hera,,United States,Fort Wingate LC-96,US Air Force,MTV,US Air Force,Suborbital,ABM Target,17 November,Failure
18 November11:14,Soyuz-U,,Russia,Plesetsk,,Resurs F-1M,Roskosmos,Low Earth,Remote sensing,13 December,Successful
18 November19:35,Black Brant IX,,United States,White Sands LC-36,NASA,SERTS-97,NASA,Suborbital,Solar observation,18 November,Successful
19 November,RT-23,,Russia,Nenoksa,RVSN,,Russian Navy,Suborbital,Test rocket,19 November,Failure
19 November19:46,Space Shuttle Columbia,,United States,Kennedy LC-39B,United Space Alliance,"STS-87
SPARTAN-201
EDO Pallet","NASA
NASA
NASA","Low Earth
Low Earth
Low Earth (Columbia)","Microgravity experiments
Microgravity research
Cryogenic mission extension pallet","5 December12:20
Failure
Successful","
Crewed orbital flight with six astronautsSpartan failed to orient itself due to human error during deployment on 21 November; was retrieved on 25 November.
"
27 November21:27,H-II,,Japan,Tanegashima LA-Y1,,"TRMM
Hikoboshi (ETS-7)
Orihime (ETS-7)","NASA
NASDA
NASDA","Low Earth
Low Earth
Low Earth","Environmental research
Docking test
Docking test","16 June 201506:55
13 November 2015
13 November 2015","Successful
Successful
Successful","
The two ETS satellites docked on 7 July 1998
"
2 December08:42,Black Brant IX,,Norway,SvalRak,NASA,,NASA,Suborbital,Plasma research,2 December,Successful
2 December22:52,Ariane 4 (44P),,France,Kourou ELA-2,Arianespace,"JCSAT 5
Equator-S","JSAT
DLR","Geosynchronous
Geosynchronous transfer","Communications
Magnetospheric research","In orbit
In orbit","Operational
Operational"
12 November17:00,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,Astra 1G,SES,Geosynchronous,Communications,In orbit,Operational
3 December09:06,Black Brant IX,,Norway,SvalRak,NASA,,NASA,Suborbital,Plasma research,3 December,Successful
8 December07:16,Long March 2D,,China,Taiyuan LC-1,CASC,"Iridium 42
Iridium 44","Iridium
Iridium","Low Earth
Low Earth","Communications
Communications","In orbit
In orbit","Operational
Spacecraft Failure"
8 December23:52,Atlas IIAS,,United States,Cape Canaveral LC-36B,International Launch Services,Galaxy 8i,PanAmSat,Current: GraveyardOperational: Geosynchronous,Communications,In orbit,Successful,"
Retired in October 2002
"
9 December07:17,Tsyklon-2,,Kazakhstan,Baikonur Site 90/20,,Kosmos 2347 (EORSAT,MO RF,Low Earth,SIGINT,11 December 1999,Successful
15 December15:40,Soyuz-U,,Russia,Plesetsk,,Kosmos 2348 (Yantar),MO RF,Low Earth,Reconnaissance,14 April 1998,Successful
18 December,UGM-133 Trident II,,United States,"Submarine, Eastern Range",US Navy,,US Navy,Suborbital,Missile test,18 December,Successful
20 December08:45,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-37,Roskosmos,Low Earth (Mir),Logistics,15 March 199823:04,Successful
20 December13:16,Delta II 7920-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 45
Iridium 46
Iridium 47
Iridium 48
Iridium 49","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","In orbit
In orbit
1 September 2018
5 May 2001
13 February 2018","Operational
Operational
Successful
Spacecraft Failure
Successful"
22 December00:16,Ariane 4 (42L),,France,Kourou ELA-2,Arianespace,Intelsat 804,Intelsat,Geosynchronous,Communications,In orbit,Operational
23 December19:11,Pegasus-XL/HAPS,,United States,"Stargazer, Wallops Island",Orbital Sciences,"Orbcomm A1
Orbcomm A2
Orbcomm A3
Orbcomm A4
Orbcomm A5
Orbcomm A6
Orbcomm A7
Orbcomm A8","Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm
Orbcomm","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit
In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational
Operational
Operational
Operational
Operational"
24 December13:32,Start-1,,Russia,Svobodniy Site 5,,Early Bird 1,EarthWatch,Low Earth,Earth observation,27 July 2000,Successful
24 December23:19,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 81/23,International Launch Services,AsiaSat 3,AsiaSat,Geosynchronous,Communications,In orbit,Partial Launch Failure,"
Upper stage failure; Performed lunar flyby to reduce orbital inclination and reach operational position.
"
