Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
19 March,R-17 Scud,,Marshall Islands,"Bigen Island, Aur Atoll",US Air Force,Willow Dune,US Air Force,Suborbital,Target,19 March,Successful
25 March03:15,Black Brant IX,,United States,White Sands LC-36,NASA,,NASA,Suborbital,Ultraviolet astronomy,25 March,Successful,"
Studied Hale-Bopp comet
"
30 March03:25,Black Brant IX,,United States,White Sands LC-36,NASA,EUVS,NASA,Suborbital,Ultraviolet astronomy,30 March,Successful
4 April16:47,Titan 23G,,United States,Vandenberg SLC-4W,Lockheed Martin,USA-131 (DMSP 5D2 F14),US Air Force/NOAA,Sun-synchronous,Meteorology,In orbit,Successful
4 April19:20,Space Shuttle Columbia,,United States,Kennedy LC-39A,United Space Alliance,"STS-83
Spacelab Long Module 1
EDO Pallet","NASA
NASA
NASA","Low Earth
Low Earth (Columbia)
Low Earth (Columbia)","Microgravity research
Spacelab MSL-1
Cryogenic mission extension pallet","
Crewed orbital flight with seven astronautsFuel cell failure caused the flight to be aborted. Re-flown as STS-94 later the same year.
"
6 April03:25,Black Brant IX,,United States,White Sands LC-36,NASA,,NASA,Suborbital,,6 April,Successful
6 April16:04,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-34,Roskosmos,Low Earth (Mir),Logistics,2 July06:31,Partial Failure,"
Collided with Mir during rendezvous tests on 25 June, heavily damaging the station and permanently depressurizing the Spektr module.
"
8 April03:55,Black Brant IX,,United States,White Sands LC-36,NASA,WISP,NASA,Suborbital,Ultraviolet astronomy,8 April,Successful
9 April08:58,Molniya-M,,Russia,Plesetsk Site 16/2,,Kosmos 2340 (Oko),MO RF,Molniya,Early warning,In orbit,Operational
16 April23:08,Ariane 4 (44LP),,France,Kourou ELA-2,Arianespace,"Thaicom 3
BSAT-1A","Thaicom
BSAT","Geosynchronous
Geosynchronous","Communications
Communications","2 October 2006
In orbit","Successful
Operational","
Thaicom 3 deorbited after suffering severe power degradation.
"
17 April,R-36M,,Kazakhstan,Baikonur,RVSN,,RVSN,Suborbital,Missile test,17 April,Successful
