Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
11 January04:13,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,Estrela do Sul 1 (Telstar 14),,Geosynchronous,Communications,In orbit,OperationalPartial spacecraft failure,"
One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.
"
29 January11:58,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M1-11,Roskosmos,Low Earth (ISS),Logistics,3 June,Successful,"
ISS flight 13P
"
5 February23:46,Atlas IIAS,,United States,Cape Canaveral SLC-36A,International Launch Services,AMC-10,SES Americom,Geosynchronous,Communications,In orbit,Operational
14 February18:50,Titan IVB (402)/IUS,,United States,Cape Canaveral SLC-40,Lockheed Martin,DSP-22,US Air Force,Geosynchronous,Missile warning,In orbit,Operational
18 February07:05,Molniya-M,,Russia,Plesetsk Site 16/2,VKS,Kosmos 2405,,Molniya,Missile warning,In orbit,Operational
2 March07:17,Ariane 5G+,,France,Kourou ELA-3,Arianespace,"Rosetta
Philae","ESA
ESA","Heliocentric
Heliocentric","Comet probe
Comet lander","30 September 2016
9 July 2015","Successful
Successful","
Maiden flight of Ariane 5G+Studied the comet 67P/Churyumov-Gerasimenko and asteroids 2867 Šteins and 21 Lutetia
"
13 March05:40,Atlas IIIA,,United States,Cape Canaveral SLC-36B,International Launch Services,MBSat,MBSAT,Geosynchronous,Communications,In orbit,Operational,"
Final flight of Atlas IIIA
"
15 March23:06,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 81/24,International Launch Services,Eutelsat W3A,Eutelsat,Geosynchronous,Communications,In orbit,Operational
20 March17:53,Delta II 7925,,United States,Cape Canaveral SLC-17B,Boeing IDS,GPS IIR-11,US Air Force,Medium Earth,Navigation,In orbit,Operational
27 March03:30,Proton-K/DM-2,,Kazakhstan,Baikonur Site 81/23,VKS,Kosmos 2406 (Raduga-1),Russian military,Geosynchronous,Communications,In orbit,Operational
16 April00:45,Atlas IIAS,,United States,Cape Canaveral SLC-36A,International Launch Services,Superbird 6,SCC,Geosynchronous,Communications,In orbit,Operational
18 April15:59,Long March 2C,,China,Jiuquan,,"Tansuo 1 (Shiyan 1)
Naxing 1","University of Harbin
Tsinghua University","Low Earth
Low Earth","Land resource mapping
Earth imaging","In orbit
In orbit","Operational
Operational"
19 April03:19,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TMA-4,Roskosmos,Low Earth (ISS),ISS Expedition 9,24 October,Successful,"
Crewed orbital flight with 3 cosmonauts
"
20 April16:57,Delta II 7920,,United States,Vandenberg SLC-2W,Boeing IDS,Gravity Probe B,NASA,Low Earth,Test Einstein's Theory of relativity,In orbit,Successful
26 April20:37,Proton-K/DM-2M,,Kazakhstan,Baikonur Site 200/39,,Ekspress AM11,RSCC,Geosynchronous,Communications,In orbit,Operational
4 May12:42,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,DirecTV-7S,DirecTV,Geosynchronous,Communications,In orbit,Operational
17 May11:12,GoFast,,United States,"Black Rock Desert, Nevada, USA",CSXT,,CSXT,Suborbital,Test spacecraft,17 May,Successful,"
First amateur space launch (apogee: 116 km)
"
19 May22:22,Atlas IIAS,,United States,Cape Canaveral SLC-36B,International Launch Services,AMC-11,SES Americom,Geosynchronous,Communications,In orbit,Operational
20 May17:47,Taurus 3120,,United States,Vandenberg LC-576E,Orbital Sciences,FORMOSAT-2 (ROCSAT-2),NSPO,Low Earth,Earth imaging,In orbit,Operational
25 May12:34,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-49,Roskosmos,Low Earth (ISS),Logistics,30 July,Successful,"
ISS flight 14P
"
28 May06:00,Tsyklon-2,,Kazakhstan,Baikonur Site 90/20,VKS,Kosmos 2405,VMF,Low Earth,Reconnaissance,In orbit,Operational
10 June01:28,Zenit-2,,Kazakhstan,Baikonur Site 45/1,VKS,Kosmos 2406,VKS,Low Earth,Signals intelligence,In orbit,Operational
16 June22:27,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Intelsat 10-02,Intelsat,Geosynchronous,Communications,In orbit,Operational
