Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
9 January17:00,Long March 2F,,China,Jiuquan,,"Shenzhou 2
Shenzhou spacecraft orbital module","CASC
CASC","Low Earth
Low Earth","Test spacecraft
Test spacecraft","16 January11:22
24 August09:05","Successful
Successful"
10 January22:09,Ariane 4 44P,,France,Kourou ELA-2,Arianespace,Turksat 2A,Eurasiasat SAM,Geosynchronous,Communications,In orbit,Operational
24 January04:28,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M1-5,Roskosmos,Low Earth (Mir),Deorbit Mir,23 March05:50,Successful,"
Final spacecraft to dock with the Mir space station.Remained docked during re-entry.
"
30 January07:55,Delta II 7925-9.5,,United States,Cape Canaveral SLC-17A,Boeing IDS,GPS IIR-7 (USA-156),US Air Force,Medium Earth,Navigation,In orbit,Operational
7 February23:05,Ariane 4 44L,,France,Kourou ELA-2,Arianespace,"Sicral
Skynet 4F",MoD (UK),"Geostationary
Geostationary","Communications
Communications","In orbit
In orbit","Operational
Operational","
Skynet 4F is the final ECS-class satellite.
"
7 February23:13,Space Shuttle Atlantis,,United States,Kennedy LC-39A,United Space Alliance,"STS-98
Destiny","NASA
NASA","Low Earth (ISS)
Low Earth (ISS)","ISS assembly
ISS component","20 February20:33
In orbit","Successful
Operational","
Crewed orbital flight with 5 astronauts
"
20 February08:48,Start-1,,Russia,Svobodniy Site 5,,Odin,SSC,Low Earth,Infrared astronomy,In orbit,Operational
26 February08:09,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Progress M-44,Roskosmos,Low Earth (ISS),Logistics,16 April13:23,Successful,"
ISS flight 3P
"
27 February21:20,Titan IVB (401)/Centaur,,United States,Cape Canaveral SLC-40,Lockheed Martin,Milstar 2 (USA-157),US Air Force,Geosynchronous,Communications,In orbit,Operational
8 March11:42,Space Shuttle Discovery,,United States,Kennedy LC-39B,United Space Alliance,"STS-102
Leonardo MPLM","NASA
ASI/NASA","Low Earth (ISS)
Low Earth (ISS)","ISS assembly
Logistics","21 March07:31
Successful","
Crewed orbital flight with 7 astronauts, ISS crew exchange (launched Expedition 2)Maiden flight of Multi-Purpose Logistics Module
"
8 March22:51,Ariane 5G,,France,Kourou ELA-3,Arianespace,"Eurobird
BSAT-2A","Eutelsat
BSAT","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
18 March22:33,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,"XM-2 ""Rock""",XM Satellite Radio,Geosynchronous,Communications,In orbit,Partial satellite failure,"
Design fault with solar panels led to shorter operational life, deactivated November 2006
"
7 April03:47,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 81/24,,Ekran-M 18,GPKS,Geosynchronous,Communications,In orbit,Operational,"
Maiden flight of Proton-M
"
7 April15:02,Delta II 7925-9.5,,United States,Cape Canaveral SLC-17A,Boeing IDS,2001 Mars Odyssey,NASA,Areocentric,Mars orbiter,In orbit,Operational
18 April10:13,GSLV,,India,Satish Dhawan,ISRO,GSAT-1,ISRO,Geosynchronous,Communications,In orbit,Failure,"
Payload placed in incorrect orbit due to underpowered upper stage of launch vehicleMaiden flight of GSLV
"
19 April18:40,Space Shuttle Endeavour,,United States,Kennedy LC-39A,United Space Alliance,"STS-100
Raffaello MPLM
Canadarm2","NASA
ASI/NASA
NASA","Low Earth (ISS)
Low Earth (ISS)
Low Earth (ISS)","ISS assembly
Logistics
ISS component","1 May16:10
Successful
In orbit","
Crewed orbital flight with 7 astronauts
"
28 April07:37,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TM-32,Roskosmos,Low Earth (ISS),ISS escape craft,31 October,Successful,"
Crewed orbital flight with three cosmonauts including the first space tourist, whose flight was arranged by the American company Space Adventures
"
