Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
2 April11:28,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,"Progress M-41
Sputnik 99","Roskosmos
AMSAT","Low Earth (Mir)
Low Earth","Logistics
Communications","17 July19:51
29 July","Successful
Successful","
Sputnik 99 deployed from Mir during EVA on 16 April
"
2 April22:03,Ariane 4 42P,,France,Kourou ELA-2,Arianespace,INSAT-2E,ISRO,Geosynchronous,Communications,In orbit,Operational
9 April17:01,Titan IVB (402)/IUS,,United States,Cape Canaveral SLC-41,Lockheed Martin,USA-142 (DSP-19),US Air Force,Intended: GeosynchronousAchieved: Geostationary transfer,Early warning,In orbit,Launch failure,"
Final Titan launch from SLC-41IUS second stage failed to separate
"
11 April04:17,Agni-II,,India,Balasore IC-4,IDRDL,,IDRDL,Suborbital,Missile test,11 April,Successful,"
Maiden flight of Agni-II
"
12 April06:35,Black Brant IX,,United States,White Sands,NASA,,NASA,Suborbital,Ultraviolet astronomy,12 April,Successful
12 April22:50,Atlas IIAS,,United States,Cape Canaveral SLC-36A,International Launch Services,Eutelsat W3,Eutelsat,Geosynchronous,Communications,In orbit,Operational
14 April05:35,Ghauri-II,,Pakistan,Tilla,PAF,,PAF,Suborbital,Missile test,14 April,Successful,"
Maiden flight of Ghauri-II
"
15 April00:46,Soyuz-U/Ikar,,Kazakhstan,Baikonur Site 1/5,Starsem,"Globalstar 45
Globalstar 19
Globalstar 44
Globalstar 42","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
15 April04:58,Shaheen 1,,Pakistan,Sonmiani,PAF,,PAF,Suborbital,Missile test,15 April,Successful
15 April18:32,Delta II 7920-10,,United States,Vandenberg SLC-2W,Boeing IDS,Landsat 7,NASA/USGS,Low Earth,Remote sensing,In orbit,Operational
21 April04:59,Dnepr,,Kazakhstan,Baikonur Site 109/95,ISC Kosmotras,UoSAT-12,Surrey Satellite Technology,Low Earth,Technology development,In orbit,Successful,"
Maiden flight of Dnepr
"
26 April,Trident D-5,,United States,"Submarine, Eastern Test Range",US Navy,,US Navy,Suborbital,Missile test,26 April,Successful
26 April,Trident D-5,,United States,"Submarine, Eastern Test Range",US Navy,,US Navy,Suborbital,Missile test,26 April,Successful
